CODE_SESSION|DESCRIPTION|DESCRIPTION_ACT|DESCRIPTION_NAT|NOM_COUR|LIEU_1|LIEU_2|ARRONDISSEMENT|ADRESSE|DATE_DEB|DATE_FIN|JOUR_SEMAINE|HEURE_DEBUT|HEURE_FIN
E2012|Camp de jour|Camp de jour|Camp spécialisé|Jeunes Handicapés de Charlesbourg (Les)|École Joseph-Paquin|École Joseph-Paquin - Gymnase|Arrondissement de Charlesbourg|465, 64e Rue Est, Québec (QC) G1H 1Y1 |2012-06-27|2012-08-08|Jeudi|08:30:00|16:30:00
E2012|Camp de jour|Camp de jour|Camp spécialisé|Jeunes Handicapés de Charlesbourg (Les)|École Joseph-Paquin|École Joseph-Paquin - Gymnase|Arrondissement de Charlesbourg|465, 64e Rue Est, Québec (QC) G1H 1Y1 |2012-06-27|2012-08-08|Lundi|08:30:00|16:30:00
E2012|Camp de jour|Camp de jour|Camp spécialisé|Jeunes Handicapés de Charlesbourg (Les)|École Joseph-Paquin|École Joseph-Paquin - Gymnase|Arrondissement de Charlesbourg|465, 64e Rue Est, Québec (QC) G1H 1Y1 |2012-06-27|2012-08-08|Mardi|08:30:00|16:30:00
E2012|Camp de jour|Camp de jour|Camp spécialisé|Jeunes Handicapés de Charlesbourg (Les)|École Joseph-Paquin|École Joseph-Paquin - Gymnase|Arrondissement de Charlesbourg|465, 64e Rue Est, Québec (QC) G1H 1Y1 |2012-06-27|2012-08-08|Mercredi|08:30:00|16:30:00
E2012|Camp de jour|Camp de jour|Camp spécialisé|Jeunes Handicapés de Charlesbourg (Les)|École Joseph-Paquin|École Joseph-Paquin - Gymnase|Arrondissement de Charlesbourg|465, 64e Rue Est, Québec (QC) G1H 1Y1 |2012-06-27|2012-08-08|Vendredi|08:30:00|16:30:00
E2012|Hockey intérieur|Hockey intérieur|Sports et de plein air|Comité culturel et sportif de Saint-Malo|Centre récréatif Mgr-Bouffard|CR Mgr-Bouffard gymnase|Arrondissement de La Cité-Limoilou|680, Rue Raoul-Jobin, Québec (QC) G1N 4N1 |2012-06-04|2012-06-25|Lundi|19:00:00|21:00:00
E2012|Rendez-vous d'août|Événement spécial - Loisirs Duberger Les Saules|Événement spécial|Loisirs Duberger-Les Saules inc.|École primaire du Buisson|École primaire du Buisson \ gymnase simple|Arrondissement des Rivières|5385, Av Banville, Québec (QC) G1P 1H7 |2012-08-11|2012-08-11|Samedi|10:00:00|16:00:00
E2012|Service de garde (PVE)|Service de garde (PVE)|Service de garde|Loisirs et Sports Neufchâtel inc.|Parc Saint-André|Centre comm. C.-A.-Savard \ gymnase simple SS109-2-3-4|Arrondissement des Rivières|2155, Boul Bastien, Québec (QC) G2B 1B8 |2012-06-27|2012-08-10|Jeudi|07:00:00|09:00:00
E2012|Service de garde (PVE)|Service de garde (PVE)|Service de garde|Loisirs et Sports Neufchâtel inc.|Parc Saint-André|Centre comm. C.-A.-Savard \ gymnase simple SS109-2-3-4|Arrondissement des Rivières|2155, Boul Bastien, Québec (QC) G2B 1B8 |2012-06-27|2012-08-10|Jeudi|16:00:00|18:00:00
E2012|Service de garde (PVE)|Service de garde (PVE)|Service de garde|Loisirs et Sports Neufchâtel inc.|Parc Saint-André|Centre comm. C.-A.-Savard \ gymnase simple SS109-2-3-4|Arrondissement des Rivières|2155, Boul Bastien, Québec (QC) G2B 1B8 |2012-06-27|2012-08-10|Lundi|07:00:00|09:00:00
E2012|Service de garde (PVE)|Service de garde (PVE)|Service de garde|Loisirs et Sports Neufchâtel inc.|Parc Saint-André|Centre comm. C.-A.-Savard \ gymnase simple SS109-2-3-4|Arrondissement des Rivières|2155, Boul Bastien, Québec (QC) G2B 1B8 |2012-06-27|2012-08-10|Lundi|16:00:00|18:00:00
E2012|Service de garde (PVE)|Service de garde (PVE)|Service de garde|Loisirs et Sports Neufchâtel inc.|Parc Saint-André|Centre comm. C.-A.-Savard \ gymnase simple SS109-2-3-4|Arrondissement des Rivières|2155, Boul Bastien, Québec (QC) G2B 1B8 |2012-06-27|2012-08-10|Mardi|07:00:00|09:00:00
E2012|Service de garde (PVE)|Service de garde (PVE)|Service de garde|Loisirs et Sports Neufchâtel inc.|Parc Saint-André|Centre comm. C.-A.-Savard \ gymnase simple SS109-2-3-4|Arrondissement des Rivières|2155, Boul Bastien, Québec (QC) G2B 1B8 |2012-06-27|2012-08-10|Mercredi|07:00:00|09:00:00
E2012|Service de garde (PVE)|Service de garde (PVE)|Service de garde|Loisirs et Sports Neufchâtel inc.|Parc Saint-André|Centre comm. C.-A.-Savard \ gymnase simple SS109-2-3-4|Arrondissement des Rivières|2155, Boul Bastien, Québec (QC) G2B 1B8 |2012-06-27|2012-08-10|Mercredi|16:00:00|18:00:00
E2012|Service de garde (PVE)|Service de garde (PVE)|Service de garde|Loisirs et Sports Neufchâtel inc.|Parc Saint-André|Centre comm. C.-A.-Savard \ gymnase simple SS109-2-3-4|Arrondissement des Rivières|2155, Boul Bastien, Québec (QC) G2B 1B8 |2012-06-27|2012-08-10|Vendredi|07:00:00|09:00:00
E2012|Service de garde (PVE)|Service de garde (PVE)|Service de garde|Loisirs et Sports Neufchâtel inc.|Parc Saint-André|Centre comm. C.-A.-Savard \ gymnase simple SS109-2-3-4|Arrondissement des Rivières|2155, Boul Bastien, Québec (QC) G2B 1B8 |2012-06-27|2012-08-10|Vendredi|16:00:00|18:00:00
E2012|Service de garde (PVE)|Service de garde (PVE)|Service de garde|Loisirs et Sports Neufchâtel inc.|Centre récréatif Apprenti-Sage|Centre récréatif Apprenti-Sage \ gymnase simple|Arrondissement des Rivières|2200, Rue Coursol, Québec (QC) G2B 4Y4 |2012-06-27|2012-08-10|Jeudi|07:00:00|09:00:00
E2012|Service de garde (PVE)|Service de garde (PVE)|Service de garde|Loisirs et Sports Neufchâtel inc.|Centre récréatif Apprenti-Sage|Centre récréatif Apprenti-Sage \ gymnase simple|Arrondissement des Rivières|2200, Rue Coursol, Québec (QC) G2B 4Y4 |2012-06-27|2012-08-10|Jeudi|16:00:00|18:00:00
E2012|Service de garde (PVE)|Service de garde (PVE)|Service de garde|Loisirs et Sports Neufchâtel inc.|Centre récréatif Apprenti-Sage|Centre récréatif Apprenti-Sage \ gymnase simple|Arrondissement des Rivières|2200, Rue Coursol, Québec (QC) G2B 4Y4 |2012-06-27|2012-08-10|Lundi|07:00:00|09:00:00
E2012|Service de garde (PVE)|Service de garde (PVE)|Service de garde|Loisirs et Sports Neufchâtel inc.|Centre récréatif Apprenti-Sage|Centre récréatif Apprenti-Sage \ gymnase simple|Arrondissement des Rivières|2200, Rue Coursol, Québec (QC) G2B 4Y4 |2012-06-27|2012-08-10|Lundi|16:00:00|18:00:00
E2012|Service de garde (PVE)|Service de garde (PVE)|Service de garde|Loisirs et Sports Neufchâtel inc.|Centre récréatif Apprenti-Sage|Centre récréatif Apprenti-Sage \ gymnase simple|Arrondissement des Rivières|2200, Rue Coursol, Québec (QC) G2B 4Y4 |2012-06-27|2012-08-10|Mardi|07:00:00|09:00:00
E2012|Service de garde (PVE)|Service de garde (PVE)|Service de garde|Loisirs et Sports Neufchâtel inc.|Centre récréatif Apprenti-Sage|Centre récréatif Apprenti-Sage \ gymnase simple|Arrondissement des Rivières|2200, Rue Coursol, Québec (QC) G2B 4Y4 |2012-06-27|2012-08-10|Mardi|16:00:00|18:00:00
E2012|Service de garde (PVE)|Service de garde (PVE)|Service de garde|Loisirs et Sports Neufchâtel inc.|Centre récréatif Apprenti-Sage|Centre récréatif Apprenti-Sage \ gymnase simple|Arrondissement des Rivières|2200, Rue Coursol, Québec (QC) G2B 4Y4 |2012-06-27|2012-08-10|Mercredi|07:00:00|09:00:00
E2012|Service de garde (PVE)|Service de garde (PVE)|Service de garde|Loisirs et Sports Neufchâtel inc.|Centre récréatif Apprenti-Sage|Centre récréatif Apprenti-Sage \ gymnase simple|Arrondissement des Rivières|2200, Rue Coursol, Québec (QC) G2B 4Y4 |2012-06-27|2012-08-10|Mercredi|16:00:00|18:00:00
